Rating,Location (City),Type of ownership,Industry,Sector,Lower Salary,Upper Salary,Age,Years of Experience,Population,Categorized Job Title,Average Take Home Income,Minimum Take Home Income,Maximum Take Home Income
2.8,Hamilton,Company - Private,IT Services,Information Technology,55000,100000,7,5.0,62947.0,Data Analyst,26567.339999999997,9017.339999999997,43899.08
3.7,Boston,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,98000,182000,240,5.0,654776.0,Data Scientist,61824.36400000001,29904.36400000001,92788.68400000001
3.3,Woodbridge,Company - Private,Insurance Carriers,Insurance,73000,124000,39,5.0,976107.3524390244,Data Scientist,42759.08,23057.339999999997,62139.08
-1.0,San Francisco,Company - Private,IT Services,Information Technology,200000,250000,4,5.0,815201.0,Data Scientist,104155.174,87426.324,120405.174
3.6,Lewes,Nonprofit Organization,Health Care Services & Hospitals,Health Care,43000,70000,86,5.0,976107.3524390244,Other,10187.339999999997,-342.6599999999962,20717.339999999997
3.7,Boston,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,117000,206000,240,10.0,654776.0,Data Scientist,78164.364,44344.36400000001,109108.68400000001
3.4,New York,Company - Public,Insurance Carriers,Insurance,111000,183000,73,3.0,8467513.0,Data Scientist,68904.6,41544.6,95228.91999999998
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
2.6,Pittsburgh,College / University,Colleges & Universities,Education,81000,159000,37,5.0,300431.0,Data Scientist,61739.434,31937.693999999996,91379.43400000001
3.2,Phoenix,Company - Public,Lending,Finance,83000,166000,13,5.0,1624569.0,Other,60873.64200000001,29211.902000000002,92413.64200000002
3.9,Burbank,Company - Private,Financial Analytics & Research,Finance,114000,182000,12,5.0,105401.0,Data Scientist,80379.08,54539.08,105263.4
4.7,Huntsville,Company - Private,Aerospace & Defense,Aerospace & Defense,42000,76000,25,5.0,216963.0,Data Analyst,15466.481999999996,2206.4820000000036,28726.481999999996
4.7,Huntsville,Company - Private,Aerospace & Defense,Aerospace & Defense,42000,76000,25,5.0,216963.0,Data Analyst,15504.747999999992,2244.7479999999996,28764.747999999992
3.7,Worcester,Company - Public,Insurance Carriers,Insurance,114000,179000,169,5.0,205918.0,Data Scientist,74187.968,49487.968,98172.288
2.9,Newton,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,60000,123000,-1,2.0,87453.0,Data Scientist,37439.08,12917.339999999997,61379.08
3.0,Chicago,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100000,166000,6,5.0,2696555.0,Data Scientist,68940.81400000001,43860.814000000006,94020.81400000001
4.7,Salt Lake City,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,108000,173000,8,5.0,200478.0,Data Scientist,72421.386,47721.386,96885.70599999999
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,210606.0,Data Scientist,33060.522,9270.521999999997,56332.262
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,210606.0,Data Scientist,33328.384,9538.383999999998,56600.124
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,121465.0,Data Scientist,33060.522,9270.521999999997,56332.262
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,121465.0,Data Scientist,33328.384,9538.383999999998,56600.124
4.0,Annapolis Junction,Company - Private,Computer Hardware & Software,Information Technology,60000,127000,19,5.0,976107.3524390244,Data Engineer,38959.08,12917.339999999997,64419.08
4.4,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,90000,179000,8,5.0,117090.0,Data Scientist,70119.08,36299.08,103223.4
3.9,San Francisco,Company - Private,Internet,Information Technology,138000,224000,14,5.0,815201.0,Data Engineer,74506.324,42702.004,103505.174
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,210606.0,Data Scientist,33060.522,9270.521999999997,56332.262
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,210606.0,Data Scientist,33328.384,9538.383999999998,56600.124
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,121465.0,Data Scientist,33060.522,9270.521999999997,56332.262
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,7,5.0,121465.0,Data Scientist,33328.384,9538.383999999998,56600.124
4.1,Mountain View,Company - Private,Internet,Information Technology,190000,220000,11,5.0,81516.0,Data Engineer,120903.4,110703.4,130982.25
3.6,Highland,Company - Private,Gambling,"Arts, Entertainment & Recreation",35000,62000,35,5.0,57159.0,Data Analyst,3947.340000000004,-7260.380000000001,14477.339999999997
4.0,Burleson,Hospital,Health Care Services & Hospitals,Health Care,37000,52000,44,5.0,51618.0,Data Scientist,827.3400000000038,-5500.379999999997,6677.3399999999965
2.4,Hoopeston,Company - Private,Food & Beverage Manufacturing,Manufacturing,39000,66000,-1,5.0,976107.3524390244,Data Scientist,7067.3399999999965,-3740.3799999999974,17597.339999999997
2.6,Pittsburgh,College / University,Colleges & Universities,Education,81000,167000,37,5.0,300431.0,Data Scientist,64779.434,31937.693999999996,97459.43400000001
3.5,Scotts Valley,Nonprofit Organization,Health Care Services & Hospitals,Health Care,42000,86000,25,5.0,976107.3524390244,Other,16037.339999999997,-1122.6599999999962,33197.34
3.0,Knoxville,Company - Private,Gas Stations,Retail,69000,127000,63,3.0,192648.0,Data Engineer,45593.424000000006,23151.684,67633.424
3.6,Millville,Nonprofit Organization,Health Care Services & Hospitals,Health Care,43000,70000,86,5.0,976107.3524390244,Other,10187.339999999997,-342.6599999999962,20717.339999999997
3.3,Milwaukee,Company - Private,Food & Beverage Manufacturing,Manufacturing,40000,68000,57,5.0,569330.0,Data Scientist,10609.832000000002,-487.88799999999173,21529.832000000002
2.7,Rockville,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,49000,113000,60,5.0,67139.0,Data Scientist,29297.339999999997,4337.340000000004,53779.08
3.4,Chicago,Company - Public,Transportation Management,Transportation & Logistics,75000,140000,16,3.0,2696555.0,Data Engineer,49560.814000000006,24579.074,74260.81400000001
3.8,Chicago,Company - Private,Logistics & Supply Chain,Transportation & Logistics,86000,139000,26,5.0,2696555.0,Data Scientist,53360.814000000006,33159.074,73500.81400000001
3.7,Herndon,Company - Public,Aerospace & Defense,Aerospace & Defense,66000,112000,26,5.0,976107.3524390244,Data Scientist,35537.34,17597.339999999997,53019.08
4.8,Sheboygan,Company - Private,Insurance Carriers,Insurance,76000,125000,96,5.0,49931.0,Data Scientist,48220.478,29338.737999999998,66840.478
3.8,New York,Company - Private,Travel Agencies,Travel & Tourism,44000,86000,19,5.0,8467513.0,Data Analyst,6102.859999999993,-10277.14,22482.859999999993
3.4,New Orleans,Government,Federal Agencies,Government,31000,52000,91,1.0,376971.0,Data Scientist,1367.836000000003,-7872.164000000001,9585.555999999997
4.3,Dallas,Subsidiary or Business Segment,Consulting,Business Services,53000,92000,22,5.0,1288457.0,Data Scientist,23241.329999999994,8031.3299999999945,38393.07
4.8,Clearwater,Company - Private,Security Services,Business Services,44000,78000,11,5.0,116674.0,Data Analyst,13697.339999999997,437.3400000000038,26957.339999999997
3.4,Ewing,Company - Public,Consumer Products Manufacturing,Manufacturing,85000,134000,175,5.0,976107.3524390244,Other,51119.08,32417.339999999997,69739.08
3.9,Cambridge,Company - Private,Internet,Information Technology,59000,110000,16,5.0,117090.0,Data Engineer,32027.339999999997,12137.339999999997,51499.08
3.4,Chicago,Company - Private,Advertising & Marketing,Business Services,64000,111000,29,5.0,2696555.0,Data Scientist,34329.074,15999.074,52220.814000000006
3.1,San Mateo,Company - Public,Video Games,Media,65000,120000,24,5.0,102200.0,Data Analyst,38199.08,16817.339999999997,59099.08
3.2,McLean,Nonprofit Organization,Federal Agencies,Government,60000,103000,63,2.0,976107.3524390244,Data Scientist,29687.339999999997,12917.339999999997,46179.08
4.3,Dayton,Company - Private,Trucking,Transportation & Logistics,53000,105000,40,5.0,137571.0,Data Analyst,32176.195999999996,11896.195999999996,52137.936
3.6,Boston,Company - Private,Insurance Carriers,Insurance,124000,204000,170,5.0,654776.0,Data Scientist,80064.364,49664.36400000001,107748.68400000001
3.9,South San Francisco,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,131000,207000,45,2.0,64251.0,Data Scientist,96339.08000000002,67459.08,122263.4
3.8,Cupertino,Company - Public,Telecommunications Services,Telecommunications,110000,174000,25,5.0,58622.0,Data Scientist,75819.08,51499.08,99823.4
2.8,Parlier,Nonprofit Organization,Social Assistance,Non-Profit,33000,62000,-1,5.0,976107.3524390244,Data Analyst,3167.340000000004,-9020.380000000001,14477.339999999997
3.7,Boston,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,52000,101000,240,5.0,654776.0,Data Scientist,13312.624000000003,-5797.375999999997,32184.36400000001
3.4,San Francisco,Company - Private,Enterprise Software & Network Solutions,Information Technology,48000,90000,8,2.0,815201.0,Data Analyst,-10139.736000000004,-26519.735999999997,6222.004000000001
4.0,Meridian,Company - Private,Computer Hardware & Software,Information Technology,34000,64000,37,3.0,125963.0,Data Analyst,11225.220000000005,-1252.5,22925.219999999998
3.8,Frederick,Company - Private,Insurance Carriers,Insurance,81000,133000,40,5.0,79588.0,Data Scientist,49219.08,29297.339999999997,68979.08
3.7,Cherry Hill,Company - Private,Enterprise Software & Network Solutions,Information Technology,42000,76000,25,3.0,976107.3524390244,Data Analyst,12137.339999999997,-1122.6599999999962,25397.339999999997
3.5,Indianapolis,Company - Private,IT Services,Information Technology,66000,111000,2,5.0,976107.3524390244,Data Scientist,38897.407999999996,21347.407999999996,56009.148
4.2,Riverton,Nonprofit Organization,Religious Organizations,Non-Profit,74000,140000,-1,5.0,976107.3524390244,Data Engineer,49219.08,23837.339999999997,74299.08
4.0,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63000,110000,172,3.0,117090.0,Data Scientist,33587.34,15257.339999999997,51499.08
4.3,Louisville,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,63000,105000,86,2.0,976107.3524390244,Data Scientist,34851.684,18471.684,50913.424000000006
4.7,New York,Company - Private,Consulting,Business Services,91000,138000,29,5.0,8467513.0,Other,44204.6,26344.6,62064.6
3.5,Marlborough,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100000,190000,11,3.0,976107.3524390244,Data Scientist,78099.08,43899.08,110703.4
4.4,Nashville,Company - Public,Internet,Information Technology,62000,114000,15,5.0,976107.3524390244,Data Engineer,34719.074,14439.074,54500.814000000006
4.1,Chicago,Company - Private,Internet,Information Technology,71000,129000,20,5.0,2696555.0,Data Engineer,43860.814000000006,21459.074,65900.81400000001
2.9,Herndon,Nonprofit Organization,Colleges & Universities,Education,43000,80000,28,8.0,976107.3524390244,Data Analyst,14087.339999999997,-342.6599999999962,28517.339999999997
2.5,Portland,Company - Public,Advertising & Marketing,Business Services,74000,119000,22,4.0,641162.0,Data Scientist,36264.50000000001,18862.760000000002,53364.50000000001
2.5,Portland,Company - Public,Advertising & Marketing,Business Services,74000,119000,22,4.0,641162.0,Data Scientist,34925.19,17523.449999999997,52025.19
2.5,Portland,Company - Public,Advertising & Marketing,Business Services,74000,119000,22,4.0,68313.0,Data Scientist,36264.50000000001,18862.760000000002,53364.50000000001
2.5,Portland,Company - Public,Advertising & Marketing,Business Services,74000,119000,22,4.0,68313.0,Data Scientist,34925.19,17523.449999999997,52025.19
4.2,Minneapolis,Company - Private,Consulting,Business Services,55000,97000,29,5.0,425336.0,Data Analyst,23330.975999999995,6950.975999999995,39552.716
3.9,Port Washington,Company - Private,Research & Development,Business Services,15000,16000,55,5.0,976107.3524390244,Data Scientist,-24420.38,-24860.38,-23980.38
4.3,Austin,Company - Private,Advertising & Marketing,Business Services,61000,106000,11,5.0,964177.0,Data Scientist,28721.784,11171.784,45933.524000000005
2.7,Madison,Government,Investment Banking & Asset Management,Finance,91000,149000,70,10.0,269196.0,Data Scientist,59290.41,37250.41,81330.41
2.7,Madison,Government,Investment Banking & Asset Management,Finance,91000,149000,70,10.0,58357.0,Data Scientist,59290.41,37250.41,81330.41
3.9,South San Francisco,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,127000,199000,45,4.0,64251.0,Data Scientist,91779.08,64419.08,116823.4
3.4,Providence,Nonprofit Organization,Insurance Carriers,Insurance,74000,126000,82,5.0,189692.0,Data Analyst,39498.490000000005,19436.75,59258.490000000005
3.8,Omaha,Nonprofit Organization,Social Assistance,Non-Profit,33000,72000,104,5.0,487300.0,Data Scientist,9784.225999999995,-6303.494000000002,24994.225999999995
3.6,West Reading,Nonprofit Organization,Health Care Services & Hospitals,Health Care,35000,49000,4,1.0,976107.3524390244,Data Scientist,-1122.6599999999962,-7260.380000000001,4337.340000000004
3.3,Washington,Nonprofit Organization,Health Care Services & Hospitals,Health Care,37000,63000,138,5.0,670050.0,Data Analyst,-2574.1259999999893,-13191.84599999999,7565.874000000003
3.4,Austin,Company - Private,Consulting,Business Services,67000,119000,15,10.0,964177.0,Data Engineer,36053.524000000005,15851.784,55813.524000000005
3.0,Cincinnati,Company - Private,Insurance Agencies & Brokerages,Insurance,72000,117000,134,5.0,308935.0,Data Scientist,42627.296,25185.555999999997,59727.296
4.0,San Francisco,Company - Public,Computer Hardware & Software,Information Technology,116000,185000,39,5.0,815201.0,Data Scientist,52202.004,25982.004,77226.324
3.7,Raleigh,Company - Public,Insurance Carriers,Insurance,78000,126000,17,5.0,469124.0,Data Scientist,45533.878000000004,27072.138,63773.878000000004
4.4,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,42000,82000,8,2.0,117090.0,Data Scientist,14477.339999999997,-1122.6599999999962,30077.339999999997
4.3,Dearborn,Company - Private,Advertising & Marketing,Business Services,59000,116000,54,5.0,108420.0,Other,34367.34,12137.339999999997,56059.08
4.0,Groton,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63000,105000,172,5.0,976107.3524390244,Data Scientist,31637.339999999997,15257.339999999997,47699.08
4.0,Herndon,Company - Private,Enterprise Software & Network Solutions,Information Technology,109000,177000,9,5.0,976107.3524390244,Data Scientist,76579.08,50739.08,101863.4
3.2,Phila,Company - Private,Staffing & Outsourcing,Business Services,116000,194000,-1,5.0,976107.3524390244,Data Scientist,85699.08,56059.08,113423.4
4.2,Winter Park,Company - Public,Advertising & Marketing,Business Services,48000,95000,15,5.0,976107.3524390244,Data Engineer,21887.339999999997,3557.340000000004,40099.08
3.9,Oakland,Company - Private,Insurance Carriers,Insurance,83000,133000,21,5.0,433823.0,Data Scientist,49979.08,30857.339999999997,68979.08
3.7,San Diego,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,105000,198000,240,5.0,1381611.0,Data Scientist,69186.788,33846.78800000001,102291.10800000001
3.6,San Rafael,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,31000,72000,15,3.0,60769.0,Data Analyst,6287.3399999999965,-10780.380000000001,22277.339999999997
3.7,Boston,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,98000,182000,240,5.0,654776.0,Data Scientist,61824.36400000001,29904.36400000001,92788.68400000001
2.8,Hamilton,Company - Private,IT Services,Information Technology,55000,100000,7,5.0,62947.0,Data Analyst,26567.339999999997,9017.339999999997,43899.08
4.2,Boise,Company - Private,Investment Banking & Asset Management,Finance,45000,82000,17,5.0,976107.3524390244,Data Analyst,15647.339999999997,1217.3400000000038,30077.339999999997
4.0,San Francisco,Company - Private,IT Services,Information Technology,83000,135000,-1,5.0,815201.0,Data Scientist,20662.004,780.2639999999956,40422.004
3.5,Oak Ridge,Company - Public,Aerospace & Defense,Aerospace & Defense,70000,122000,171,3.0,976107.3524390244,Data Scientist,40859.08,20717.339999999997,60619.08
-1.0,San Francisco,Company - Private,IT Services,Information Technology,200000,250000,4,5.0,815201.0,Data Scientist,104155.174,87426.324,120405.174
3.2,Agoura Hills,Company - Public,Lending,Finance,70000,132000,13,5.0,976107.3524390244,Data Engineer,44659.08,20717.339999999997,68219.08
3.3,Woodbridge,Company - Private,Insurance Carriers,Insurance,73000,124000,39,5.0,976107.3524390244,Data Scientist,42759.08,23057.339999999997,62139.08
3.9,Pella,Company - Private,Industrial Manufacturing,Manufacturing,54000,101000,73,5.0,976107.3524390244,Data Engineer,26567.339999999997,8237.339999999997,44659.08
3.7,Boston,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,117000,206000,240,10.0,654776.0,Data Scientist,78164.364,44344.36400000001,109108.68400000001
3.6,Lewes,Nonprofit Organization,Health Care Services & Hospitals,Health Care,43000,70000,86,5.0,976107.3524390244,Other,10187.339999999997,-342.6599999999962,20717.339999999997
3.4,New York,Company - Public,Insurance Carriers,Insurance,111000,183000,73,3.0,8467513.0,Data Scientist,68904.6,41544.6,95228.91999999998
3.5,San Ramon,Company - Public,IT Services,Information Technology,68000,112000,24,5.0,86947.0,Data Scientist,36299.08,19157.339999999997,53019.08
4.3,Red Bank,Company - Public,Banks & Credit Unions,Finance,42000,74000,119,4.0,976107.3524390244,Data Analyst,11357.339999999997,-1122.6599999999962,23837.339999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,169724.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,154789.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,113394.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,62256.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,11210.049999999996,-2049.949999999997,24470.049999999996
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,18786.717999999993,5526.718000000001,32046.717999999993
4.1,Springfield,Company - Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,60,5.0,58763.0,Data Analyst,18480.589999999997,5220.590000000004,31740.589999999997
2.6,Pittsburgh,College / University,Colleges & Universities,Education,81000,159000,37,5.0,300431.0,Data Scientist,61739.434,31937.693999999996,91379.43400000001
3.6,New York,Company - Public,Auctions & Galleries,Retail,95000,161000,277,5.0,8467513.0,Data Scientist,54464.6,29384.6,79544.6
3.5,Hillsboro,Company - Private,Banks & Credit Unions,Finance,75000,124000,69,5.0,106633.0,Data Scientist,43519.08,24617.339999999997,62139.08
3.6,Detroit,Company - Private,Real Estate,Real Estate,72000,120000,24,5.0,632464.0,Data Scientist,43461.168,24879.427999999993,61701.168
2.3,Washington,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,76000,126000,18,5.0,670050.0,Data Scientist,36967.61400000001,17705.874000000003,55967.61400000001
3.9,Burbank,Company - Private,Financial Analytics & Research,Finance,114000,182000,12,5.0,105401.0,Data Scientist,80379.08,54539.08,105263.4
4.0,Fort Belvoir,Company - Private,Enterprise Software & Network Solutions,Information Technology,108000,176000,9,5.0,976107.3524390244,Data Scientist,75819.08,49979.08,101183.4
4.1,Palo Alto,Company - Private,K-12 Education,Education,130000,208000,14,5.0,66680.0,Data Scientist,96339.08000000002,66699.08,122943.4
3.2,Phoenix,Company - Public,Lending,Finance,83000,166000,13,5.0,1624569.0,Other,60873.64200000001,29211.902000000002,92413.64200000002
4.7,Huntsville,Company - Private,Aerospace & Defense,Aerospace & Defense,42000,76000,25,5.0,216963.0,Data Analyst,15466.481999999996,2206.4820000000036,28726.481999999996
4.7,Huntsville,Company - Private,Aerospace & Defense,Aerospace & Defense,42000,76000,25,5.0,216963.0,Data Analyst,15504.747999999992,2244.7479999999996,28764.747999999992
4.2,San Diego,Company - Private,Consulting,Business Services,37000,68000,34,5.0,1381611.0,Other,-6784.9519999999975,-19352.67199999999,5305.0480000000025
4.6,Houston,Company - Private,IT Services,Information Technology,52000,99000,39,5.0,2288250.0,Data Engineer,26614.511999999995,8284.511999999995,44746.252
3.7,Armonk,Company - Public,Insurance Agencies & Brokerages,Insurance,105000,173000,158,5.0,976107.3524390244,Data Scientist,73539.08,47699.08,99143.4
3.7,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,71000,134000,240,5.0,117090.0,Data Engineer,45799.08,21497.339999999997,69739.08
4.4,Columbia,Company - Private,Architectural & Engineering Services,Business Services,39000,82000,92,5.0,137541.0,Data Scientist,17210.471999999994,162.7520000000004,33980.471999999994
4.4,Columbia,Company - Private,Architectural & Engineering Services,Business Services,39000,82000,92,5.0,137541.0,Data Scientist,16406.886,-640.8339999999953,33176.886
4.4,Columbia,Company - Private,Architectural & Engineering Services,Business Services,39000,82000,92,5.0,126853.0,Data Scientist,17210.471999999994,162.7520000000004,33980.471999999994
4.4,Columbia,Company - Private,Architectural & Engineering Services,Business Services,39000,82000,92,5.0,126853.0,Data Scientist,16406.886,-640.8339999999953,33176.886
3.7,Worcester,Company - Public,Insurance Carriers,Insurance,114000,179000,169,5.0,205918.0,Data Scientist,74187.968,49487.968,98172.288
3.9,South San Francisco,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,88000,162000,45,5.0,64251.0,Data Scientist,62899.08,34757.34,91019.08
3.6,Springfield,Company - Private,Insurance Carriers,Insurance,60000,102000,170,5.0,169724.0,Data Analyst,34080.59,17700.589999999997,50202.33
3.6,Springfield,Company - Private,Insurance Carriers,Insurance,60000,102000,170,5.0,169724.0,Data Analyst,26810.049999999996,10430.049999999996,42931.79
3.6,Springfield,Company - Private,Insurance Carriers,Insurance,60000,102000,170,5.0,169724.0,Data Analyst,34386.71799999999,18006.717999999993,50508.458
